m 1 = 10 10 M ⊙ m 1 = 10 10 M ⊙,Per cent mergers,,,
m 1 = 10 8 M ⊙ m 1 = 10 8 M ⊙,Per cent mergers,,,
q in / q out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.0316/0.0316,9.6,8.3,0,17.9(5.1)
0.0316/ 0.1,14.1,2.6,0,16.7(8.3)
0.0316/0.3162,28.2,0.6,0.6,29.5(1.9)
0.0316/ 1,14.7,1.3,2.6,18.6(3.2)
0.1/0.0316,4.5,3.2,0,7.7(5.8)
0.1/ 0.1,9.6,6.4,0,16.0(12.8)
0.1/0.3162,22.4,6.4,1.3,30.1(5.1)
0.1/ 1,21.8,0,1.9,23.7(2.6)
0.3162/0.0316,1.3,1.3,0,2.6(3.2)
0.3162/ 0.1,10.3,1.3,0.6,12.2(7.1)
0.3162/0.3162,25.6,9,1.9,36.5(11.5)
0.3162/ 1,23.1,3.2,8.3,34.6(5.1)
1/0.0316,0,0.6,0,0.6(3.2)
1/ 0.1,5.8,0,0,5.8(5.1)
1/0.3162,25,9.6,10.9,45.5(11.5)
1/ 1,19.2,10.3,11.5,41.0(9.0)
Average,14.7,4,2.5,21.2(6.3)
e in / e out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.2/0.3,15.9,4.3,4.8,25.0(3.4)
0.2/0.6,12,4.3,3.4,19.7(6.2)
0.2/0.9,4.3,3.8,2.4,10.6(2.4)
0.4/0.3,18.3,3.4,1.9,23.6(5.3)
0.4/0.6,14.9,4.8,1.4,21.2(11.1)
0.4/0.9,4.8,5.8,2.9,13.5(5.3)
0.6/0.3,20.7,2.9,1.4,25.0(1.4)
0.6/0.6,13,3.8,1.4,18.3(4.3)
0.6/0.9,3.4,5.3,2.9,11.5(1.4)
0.8/0.3,34.6,1.4,2.4,38.5(1.0)
0.8/0.6,23.6,4.3,1.9,29.8(2.4)
0.8/0.9,11.1,3.8,2.9,17.8(5.8)
Average,14.7,4,2.5,21.2(6.3)
ι,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
10,10.4,3.1,3.6,17.2(6.8)
34.9323,8.9,3.1,3.1,15.1(6.2)
49.0917,6.8,5.2,4.2,16.1(8.3)
60.6678,13,5.7,2.6,21.4(4.7)
71.0409,11.5,3.1,2.6,17.2(8.9)
80.7981,14.6,2.6,4.2,21.4(6.8)
90.2902,27.6,0.5,1.6,29.7(3.1)
99.7903,28.1,2.1,1,31.2(3.1)
109.574,20.3,4.2,2.1,26.6(6.8)
120,19.3,2.6,1.6,23.4(5.2)
131.681,13.5,4.2,2.1,19.8(5.2)
146.094,7.8,7.3,0,15.1(8.9)
174.231,9.4,8.3,3.6,21.4(7.8)
Average,14.7,4,2.5,21.2(6.3)
,,,,
m 1 = 10 7 M ⊙ m 1 = 10 7 M ⊙,per cent Mergers,,,
q in / q out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.0316/0.0316,5.1,4.5,0,9.6(6.4)
0.0316/ 0.1,23.1,1.9,0,25.0(1.9)
0.0316/0.3162,23.7,3.2,0.6,27.6(7.7)
0.0316/ 1,23.7,5.8,0,29.5(1.9)
0.1/0.0316,3.2,0.6,0,3.8(3.2)
0.1/ 0.1,9.6,2.6,0,12.2(6.4)
0.1/0.3162,32.1,1.3,0.6,34.0(5.1)
0.1/ 1,22.4,1.9,0.6,25.0(3.2)
0.3162/0.0316,0,0.6,0,0.6(0.6)
0.3162/ 0.1,10.3,0,1.3,11.5(5.8)
0.3162/0.3162,23.1,6.4,0.6,30.1(4.5)
0.3162/ 1,23.1,0,7.1,30.1(0.6)
1/0.0316,1.3,0,0,1.3(0.6)
1/ 0.1,6.4,1.3,0.6,8.3(2.6)
1/0.3162,24.4,3.8,5.1,33.3(9.0)
1/ 1,14.7,6.4,6.4,27.6(11.5)
Average,15.4,2.5,1.4,19.4(4.4)
e in / e out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.2/0.3,18.8,2.4,2.4,23.6(2.4)
0.2/0.6,6.7,2.4,1.9,11.1(0.0)
0.2/0.9,3.4,4.8,1.4,9.6 (1.4)
0.4/0.3,21.6,1.4,2.4,25.5(3.8)
0.4/0.6,13.9,1,1,15.9(6.2)
0.4/0.9,5.8,2.9,1.4,10.1(4.8)
0.6/0.3,21.6,2.4,1,25.0(1.4)
0.6/0.6,13.5,1.9,1.9,17.3(5.8)
0.6/0.9,8.7,2.9,0.5,12.0(3.8)
0.8/0.3,39.4,0.5,0.5,40.4(1.4)
0.8/0.6,22.6,4.8,1.4,28.8(1.9)
0.8/0.9,8.7,2.9,1.4,13.0(4.3)
Average,15.4,2.5,1.4,19.4(4.4)
ι,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
10,12.5,2.6,1.6,16.7(5.7)
34.9323,10.4,1,2.1,13.5(6.8)
49.0917,12,2.1,3.1,17.2(3.6)
60.6678,11.5,3.1,1.6,16.1(4.7)
71.0409,14.6,2.6,1.6,18.8(5.2)
80.7981,14.1,4.2,1,19.3(4.7)
90.2902,31.2,1.6,1,33.9(3.6)
99.7903,26,1,1,28.1(3.1)
109.574,24,3.6,0,27.6(2.6)
120,17.2,1.6,1,19.8(4.7)
131.681,11.5,2.1,1.6,15.1(4.2)
146.094,8.3,3.6,1,13.0(4.2)
174.231,6.8,3.6,2.1,12.5(4.7)
Average,15.4,2.5,1.4,19.4(4.4)
,,,,
m 1 = 10 6 M ⊙ m 1 = 10 6 M ⊙,per cent Mergers,,,
q in / q out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.0316/0.0316,4.5,0.6,0,5.1(1.3)
0.0316/ 0.1,11.5,0,0,11.5(0.0)
0.0316/0.3162,25.6,0,0,25.6(2.6)
0.0316/ 1,39.7,0,1.9,41.7(0.6)
0.1/0.0316,1.3,0.6,0,1.9(1.9)
0.1/ 0.1,9,1.3,0,10.3(6.4)
0.1/0.3162,38.5,0,0,38.5(2.6)
0.1/ 1,43.6,0,0.6,44.2(0.6)
0.3162/0.0316,0.6,0.6,0,1.3(1.3)
0.3162/ 0.1,3.2,0.6,0,3.8(0.0)
0.3162/0.3162,19.9,1.3,0,21.2(1.9)
0.3162/ 1,26.3,1.3,2.6,30.1(1.9)
1/0.0316,0.6,0,0,0.6(0.6)
1/ 0.1,1.9,0.6,0.6,3.2(1.3)
1/0.3162,17.9,6.4,4.5,28.8(5.1)
1/ 1,14.7,8.3,5.8,28.8(1.9)
Average,16.2,1.4,1,18.5(1.9)
e in / e out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.2/0.3,16.3,2.9,1.4,20.7(1.4)
0.2/0.6,6.7,0.5,0.5,7.7 (1.4)
0.2/0.9,6.2,1,1.4,8.7 (3.4)
0.4/0.3,18.8,1.4,1.4,21.6(1.9)
0.4/0.6,14.4,1.4,1.9,17.8(3.4)
0.4/0.9,7.7,1,1,9.6 (3.4)
0.6/0.3,27.4,0.5,0.5,28.4(0.0)
0.6/0.6,13.9,2.4,0,16.3(0.0)
0.6/0.9,9.1,1.4,0.5,11.1(0.0)
0.8/0.3,38,1.4,1.4,40.9(0.0)
0.8/0.6,22.6,0.5,0.5,23.6(0.0)
0.8/0.9,13,1.9,1.4,16.3(0.5)
Average,16.2,1.4,1,18.5(1.9)
ι,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
10,13,3.1,1,17.2(3.6)
34.9323,13.5,0,2.1,15.6(1.6)
49.0917,15.6,2.1,1,18.8(1.0)
60.6678,17.7,0.5,1.6,19.8(2.6)
71.0409,14.1,0.5,1,15.6(1.6)
80.7981,18.2,0.5,0,18.8(1.6)
90.2902,33.3,0.5,0.5,34.4(0.5)
99.7903,25.5,0.5,0,26.0(1.6)
109.574,20.3,1,0.5,21.9(2.1)
120,15.6,2.6,1.6,19.8(0.5)
131.681,9.9,1.6,0,11.5(4.2)
146.094,5.7,1.6,3.1,10.4(1.0)
174.231,7.8,3.1,0.5,11.5(2.6)
Average,16.2,1.4,1,18.5(1.9)
,,,,
m 1 = 10 5 M ⊙ m 1 = 10 5 M ⊙,Per cent mergers,,,
q in / q out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.0316/0.0316,1.9,1.9,0,3.8(2.6)
0.0316/ 0.1,19.2,1.3,0,20.5(0.0)
0.0316/0.3162,34.6,0,0,34.6(1.3)
0.0316/ 1,23.1,0,1.3,24.4(3.8)
0.1/0.0316,0.6,0,0,0.6(1.3)
0.1/ 0.1,8.3,0.6,0.6,9.6(3.2)
0.1/0.3162,35.3,0.6,0,35.9(1.3)
0.1/ 1,40.4,0,0,40.4(0.0)
0.3162/0.0316,1.9,0,0,1.9(0.0)
0.3162/ 0.1,2.6,0.6,0,3.2(3.8)
0.3162/0.3162,28.2,0.6,0.6,29.5(3.2)
0.3162/ 1,30.8,0.6,3.8,35.3(0.0)
1/0.0316,0,0,0,0.0(0.6)
1/ 0.1,5.8,0,0,5.8(1.3)
1/0.3162,19.2,3.8,5.1,28.2(2.6)
1/ 1,16.7,4.5,1.9,23.1(1.3)
Average,16.8,0.9,0.8,18.5(1.6)
e in / e out,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
0.2/0.3,17.3,0.5,1.4,19.2(1.0)
0.2/0.6,10.1,0.5,0.5,11.1(0.5)
0.2/0.9,2.9,1.9,1,5.8 (1.4)
0.4/0.3,17.8,0,1.9,19.7(0.5)
0.4/0.6,12.5,1.4,1,14.9(1.4)
0.4/0.9,6.7,1,0.5,8.2 (1.4)
0.6/0.3,26.4,1.4,1,28.8(0.5)
0.6/0.6,18.8,0.5,0.5,19.7(1.0)
0.6/0.9,10.1,0.5,0.5,11.1(2.4)
0.8/0.3,38.5,0,0.5,38.9(1.0)
0.8/0.6,26,1,1,27.9(1.4)
0.8/0.9,14.4,2.4,0.5,17.3(2.4)
Average,16.8,0.9,0.8,18.5(1.6)
ι,m 1 − m 2,m 1 − m 3,m 2 − m 3,Total
10,16.7,0,1.6,18.2(3.1)
34.9323,15.6,1.6,0.5,17.7(2.6)
49.0917,18.2,0,1.6,19.8(1.6)
60.6678,15.1,0.5,2.6,18.2(1.6)
71.0409,12.5,0.5,0.5,13.5(2.6)
80.7981,16.1,0,0.5,16.7(1.0)
90.2902,31.8,0.5,0.5,32.8(1.6)
99.7903,30.7,0.5,0,31.2(1.0)
109.574,21.4,1.6,2.1,25.0(1.0)
120,17.7,0.5,0,18.2(1.0)
131.681,9.9,1.6,0.5,12.0(0.5)
146.094,5.2,1.6,0,6.8(2.1)
174.231,7.3,3.1,0.5,10.9(1.6)
Average,16.8,0.9,0.8,18.5(1.6)
